2018-05-17 11:09:58.380724: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-05-17 11:09:58.549518: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:04:00.0
totalMemory: 7.92GiB freeMemory: 6.43GiB
2018-05-17 11:09:58.549546: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:04:00.0, compute capability: 6.1)
global step: 100, learning rate: 0.0030000, training ppl: 2415.114135, valid ppl: 2196.503443, test ppl: 2159.873433

global step: 200, learning rate: 0.0030000, training ppl: 3355.917737, valid ppl: 6778.430068, test ppl: 5374.832670

global step: 300, learning rate: 0.0030000, training ppl: 3102.738983, valid ppl: 1297.705459, test ppl: 1461.170986

global step: 400, learning rate: 0.0030000, training ppl: 2317.525448, valid ppl: 716.744199, test ppl: 656.654676

global step: 500, learning rate: 0.0030000, training ppl: 1761.588774, valid ppl: 636.122908, test ppl: 573.792075

global step: 600, learning rate: 0.0030000, training ppl: 1431.403037, valid ppl: 552.787692, test ppl: 518.843685

global step: 700, learning rate: 0.0030000, training ppl: 1229.446980, valid ppl: 504.430065, test ppl: 471.905852

global step: 800, learning rate: 0.0030000, training ppl: 1086.189475, valid ppl: 482.870884, test ppl: 453.573221

global step: 900, learning rate: 0.0030000, training ppl: 982.552804, valid ppl: 437.205606, test ppl: 397.126193

global step: 1000, learning rate: 0.0030000, training ppl: 900.584183, valid ppl: 417.075600, test ppl: 389.820231

global step: 1100, learning rate: 0.0030000, training ppl: 835.085247, valid ppl: 404.016527, test ppl: 366.922277

global step: 1200, learning rate: 0.0030000, training ppl: 777.826623, valid ppl: 364.940947, test ppl: 337.166659

global step: 1300, learning rate: 0.0030000, training ppl: 339.340233, valid ppl: 346.504797, test ppl: 325.214594

global step: 1400, learning rate: 0.0030000, training ppl: 318.708029, valid ppl: 335.581034, test ppl: 311.707864

global step: 1500, learning rate: 0.0030000, training ppl: 314.972437, valid ppl: 341.922064, test ppl: 320.550574

global step: 1600, learning rate: 0.0030000, training ppl: 311.022513, valid ppl: 306.887448, test ppl: 293.575450

global step: 1700, learning rate: 0.0030000, training ppl: 301.172769, valid ppl: 300.405624, test ppl: 277.826387

global step: 1800, learning rate: 0.0030000, training ppl: 288.860475, valid ppl: 286.051281, test ppl: 270.964804

global step: 1900, learning rate: 0.0030000, training ppl: 281.242873, valid ppl: 271.389457, test ppl: 250.996216

global step: 2000, learning rate: 0.0030000, training ppl: 273.853794, valid ppl: 260.582536, test ppl: 248.655188

global step: 2100, learning rate: 0.0030000, training ppl: 268.066817, valid ppl: 247.384396, test ppl: 230.383043

