train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512/
epoch:0 test_present_rate:0.5 test_bleu:16.08985662460327 template_bleu:43.515744805336
epoch:0 test_present_rate:0.5 test_bleu:17.78467148542404 template_bleu:45.63233256340027
step:1 source:(128, 18) loss:6.45371 lr:0.000354
step:201 source:(128, 18) loss:3.97654 lr:0.000354
step:401 source:(128, 18) loss:3.99746 lr:0.000354
step:601 source:(128, 18) loss:3.80348 lr:0.000354
step:801 source:(128, 18) loss:3.77896 lr:0.000354
step:1001 source:(128, 18) loss:3.77137 lr:0.000354
step:1201 source:(128, 18) loss:3.7359 lr:0.000354
step:1401 source:(128, 18) loss:3.73657 lr:0.000354
step:1601 source:(128, 18) loss:3.70285 lr:0.000354
step:1801 source:(128, 18) loss:3.76495 lr:0.000354
step:2001 source:(128, 18) loss:3.67932 lr:0.000354
step:2201 source:(128, 18) loss:3.73309 lr:0.000354
step:2401 source:(128, 18) loss:3.55016 lr:0.000354
step:2601 source:(128, 18) loss:3.74865 lr:0.000354
step:2801 source:(128, 18) loss:3.56839 lr:0.000354
step:3001 source:(128, 18) loss:3.57385 lr:0.000354
step:3201 source:(128, 18) loss:3.65229 lr:0.000354
step:3401 source:(128, 18) loss:3.77683 lr:0.000354
step:3601 source:(128, 18) loss:3.69757 lr:0.000354
step:3801 source:(128, 18) loss:3.63202 lr:0.000354
step:4001 source:(128, 18) loss:3.60874 lr:0.000354
step:4201 source:(128, 18) loss:3.6605 lr:0.000354
step:4401 source:(128, 18) loss:3.66448 lr:0.000354
step:4601 source:(128, 18) loss:3.58044 lr:0.000354
step:4801 source:(128, 18) loss:3.74258 lr:0.000354
step:5001 source:(128, 18) loss:3.6444 lr:0.000354
step:5201 source:(128, 18) loss:3.59923 lr:0.000354
step:5401 source:(128, 18) loss:3.72069 lr:0.000354
step:5601 source:(128, 18) loss:3.68999 lr:0.000354
step:5801 source:(128, 18) loss:3.7004 lr:0.000354
step:6001 source:(128, 18) loss:3.62049 lr:0.000354
step:6201 source:(128, 18) loss:3.66223 lr:0.000354
step:6401 source:(128, 18) loss:3.73195 lr:0.000354
step:6601 source:(128, 18) loss:3.68483 lr:0.000354
step:6801 source:(128, 18) loss:3.67979 lr:0.000354
step:7001 source:(128, 18) loss:3.75697 lr:0.000354
step:7201 source:(128, 18) loss:3.61017 lr:0.000354
step:7401 source:(128, 18) loss:3.68386 lr:0.000354
step:7601 source:(128, 18) loss:3.66244 lr:0.000354
step:7801 source:(128, 18) loss:3.64873 lr:0.000354
step:8001 source:(128, 18) loss:3.79158 lr:0.000354
step:8201 source:(128, 18) loss:3.78131 lr:0.000354
step:8401 source:(128, 18) loss:3.61796 lr:0.000354
step:8601 source:(128, 18) loss:3.6226 lr:0.000354
step:8801 source:(128, 18) loss:3.86601 lr:0.000354
step:9001 source:(128, 18) loss:3.76556 lr:0.000354
step:9201 source:(128, 18) loss:3.86778 lr:0.000354
step:9401 source:(128, 18) loss:3.78001 lr:0.000354
step:9601 source:(128, 18) loss:3.8392 lr:0.000354
step:9801 source:(128, 18) loss:3.85955 lr:0.000354
step:10001 source:(128, 18) loss:3.69145 lr:0.000354
step:10201 source:(128, 18) loss:3.75719 lr:0.000354
step:10401 source:(128, 18) loss:3.76106 lr:0.000354
step:10601 source:(128, 18) loss:3.82234 lr:0.000354
step:10801 source:(128, 18) loss:3.67328 lr:0.000354
step:11001 source:(128, 18) loss:3.77859 lr:0.000354
step:11201 source:(128, 18) loss:3.72853 lr:0.000354
step:11401 source:(128, 18) loss:3.74162 lr:0.000354
step:11601 source:(128, 18) loss:3.8213 lr:0.000354
step:11801 source:(128, 18) loss:3.78508 lr:0.000354
step:12001 source:(128, 18) loss:3.72304 lr:0.000354
step:12201 source:(128, 18) loss:3.76772 lr:0.000354
step:12401 source:(128, 18) loss:3.75846 lr:0.000354
step:12601 source:(128, 18) loss:3.81524 lr:0.000354
step:12801 source:(128, 18) loss:3.83808 lr:0.000354
step:13001 source:(128, 18) loss:3.8101 lr:0.000354
step:13201 source:(128, 18) loss:3.74753 lr:0.000354
step:13401 source:(128, 18) loss:3.7482 lr:0.000354
step:13601 source:(128, 18) loss:3.66077 lr:0.000354
step:13801 source:(128, 18) loss:3.75735 lr:0.000354
step:14001 source:(128, 18) loss:3.75078 lr:0.000354
step:14201 source:(128, 18) loss:3.70429 lr:0.000354
step:14401 source:(128, 18) loss:3.88735 lr:0.000354
step:14601 source:(128, 18) loss:3.71359 lr:0.000354
step:14801 source:(128, 18) loss:3.74724 lr:0.000354
step:15001 source:(128, 18) loss:3.80452 lr:0.000354
step:15201 source:(128, 18) loss:3.79263 lr:0.000354
step:15401 source:(128, 18) loss:3.79697 lr:0.000354
step:15601 source:(128, 18) loss:3.7544 lr:0.000354
step:15801 source:(128, 18) loss:3.7678 lr:0.000354
step:16001 source:(128, 18) loss:3.76564 lr:0.000354
step:16201 source:(128, 18) loss:3.73069 lr:0.000354
step:16401 source:(128, 18) loss:3.70944 lr:0.000354
step:16601 source:(128, 18) loss:3.91468 lr:0.000354
step:16801 source:(128, 18) loss:3.81242 lr:0.000354
step:17001 source:(128, 18) loss:3.70519 lr:0.000354
step:17201 source:(128, 18) loss:3.77807 lr:0.000354
step:17401 source:(128, 18) loss:3.81033 lr:0.000354
step:17601 source:(128, 18) loss:3.87511 lr:0.000354
step:17801 source:(128, 18) loss:3.9351 lr:0.000354
step:18001 source:(128, 18) loss:3.88134 lr:0.000354
step:18201 source:(128, 18) loss:3.83002 lr:0.000354
step:18401 source:(128, 18) loss:3.81208 lr:0.000354
step:18601 source:(128, 18) loss:3.7687 lr:0.000354
step:18801 source:(128, 18) loss:3.80875 lr:0.000354
step:19001 source:(128, 18) loss:3.80831 lr:0.000354
step:19201 source:(128, 18) loss:3.73878 lr:0.000354
step:19401 source:(128, 18) loss:3.72825 lr:0.000354
epoch:5 test_present_rate:0.5 test_bleu:46.14237844944 template_bleu:43.56240630149841
epoch:5 test_present_rate:0.5 test_bleu:50.43642520904541 template_bleu:45.697689056396484
step:19601 source:(128, 18) loss:3.86859 lr:0.000354
step:19801 source:(128, 18) loss:3.86676 lr:0.000354
step:20001 source:(128, 18) loss:3.9202 lr:0.000354
step:20201 source:(128, 18) loss:3.84027 lr:0.000354
step:20401 source:(128, 18) loss:3.66805 lr:0.000354
step:20601 source:(128, 18) loss:3.77143 lr:0.000354
step:20801 source:(128, 18) loss:3.74769 lr:0.000354
step:21001 source:(128, 18) loss:4.4067 lr:0.000354
step:21201 source:(128, 18) loss:4.68091 lr:0.000354
step:21401 source:(128, 18) loss:4.26075 lr:0.000354
step:21601 source:(128, 18) loss:4.36421 lr:0.000354
step:21801 source:(128, 18) loss:4.15013 lr:0.000354
step:22001 source:(128, 18) loss:4.22142 lr:0.000354
step:22201 source:(128, 18) loss:4.06513 lr:0.000354
step:22401 source:(128, 18) loss:3.91613 lr:0.000354
step:22601 source:(128, 18) loss:4.09329 lr:0.000354
step:22801 source:(128, 18) loss:3.97711 lr:0.000354
step:23001 source:(128, 18) loss:3.90249 lr:0.000354
step:23201 source:(128, 18) loss:3.9938 lr:0.000354
step:23401 source:(128, 18) loss:4.07586 lr:0.000354
step:23601 source:(128, 18) loss:4.48151 lr:0.000354
step:23801 source:(128, 18) loss:3.98722 lr:0.000354
step:24001 source:(128, 18) loss:4.02532 lr:0.000354
step:24201 source:(128, 18) loss:3.92344 lr:0.000354
step:24401 source:(128, 18) loss:4.13779 lr:0.000354
step:24601 source:(128, 18) loss:4.1827 lr:0.000354
step:24801 source:(128, 18) loss:4.15176 lr:0.000354
step:25001 source:(128, 18) loss:4.03045 lr:0.000354
