train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512/
epoch:0 test_present_rate:0.5 test_bleu:7.521103322505951 template_bleu:41.16130471229553
epoch:0 test_present_rate:0.5 test_bleu:7.755869626998901 template_bleu:41.3168340921402
step:1 source:(128, 18) loss:6.98889 lr:0.000354
step:201 source:(128, 18) loss:4.17083 lr:0.000354
step:401 source:(128, 18) loss:4.02065 lr:0.000354
step:601 source:(128, 18) loss:4.0558 lr:0.000354
step:801 source:(128, 18) loss:3.95778 lr:0.000354
step:1001 source:(128, 18) loss:3.97896 lr:0.000354
step:1201 source:(128, 18) loss:3.94767 lr:0.000354
step:1401 source:(128, 18) loss:3.99854 lr:0.000354
step:1601 source:(128, 18) loss:3.83764 lr:0.000354
step:1801 source:(128, 18) loss:3.94477 lr:0.000354
step:2001 source:(128, 18) loss:3.96513 lr:0.000354
step:2201 source:(128, 18) loss:3.95227 lr:0.000354
step:2401 source:(128, 18) loss:3.972 lr:0.000354
step:2601 source:(128, 18) loss:3.85876 lr:0.000354
step:2801 source:(128, 18) loss:3.95974 lr:0.000354
step:3001 source:(128, 18) loss:3.87021 lr:0.000354
step:3201 source:(128, 18) loss:3.91069 lr:0.000354
step:3401 source:(128, 18) loss:3.88153 lr:0.000354
step:3601 source:(128, 18) loss:3.86288 lr:0.000354
step:3801 source:(128, 18) loss:3.8821 lr:0.000354
epoch:5 test_present_rate:0.5 test_bleu:42.96170473098755 template_bleu:41.25309884548187
epoch:5 test_present_rate:0.5 test_bleu:43.36419701576233 template_bleu:41.25981330871582
step:4001 source:(128, 18) loss:3.95037 lr:0.000354
step:4201 source:(128, 18) loss:3.86603 lr:0.000354
step:4401 source:(128, 18) loss:3.88495 lr:0.000354
step:4601 source:(128, 18) loss:3.99278 lr:0.000354
step:4801 source:(128, 18) loss:3.95494 lr:0.000354
step:5001 source:(128, 18) loss:3.92285 lr:0.000354
step:5201 source:(128, 18) loss:3.90299 lr:0.000354
step:5401 source:(128, 18) loss:3.95816 lr:0.000354
step:5601 source:(128, 18) loss:3.90684 lr:0.000354
step:5801 source:(128, 18) loss:3.94258 lr:0.000354
step:6001 source:(128, 18) loss:3.85884 lr:0.000354
step:6201 source:(128, 18) loss:3.90354 lr:0.000354
step:6401 source:(128, 18) loss:3.99006 lr:0.000354
step:6601 source:(128, 18) loss:3.91441 lr:0.000354
step:6801 source:(128, 18) loss:3.92603 lr:0.000354
step:7001 source:(128, 18) loss:3.98917 lr:0.000354
step:7201 source:(128, 18) loss:3.99495 lr:0.000354
step:7401 source:(128, 18) loss:4.02615 lr:0.000354
step:7601 source:(128, 18) loss:3.99159 lr:0.000354
step:7801 source:(128, 18) loss:3.9962 lr:0.000354
epoch:10 test_present_rate:0.5 test_bleu:43.61014366149902 template_bleu:41.30752384662628
epoch:10 test_present_rate:0.5 test_bleu:43.83115470409393 template_bleu:41.251128911972046
step:8001 source:(128, 18) loss:4.01572 lr:0.000354
step:8201 source:(128, 18) loss:3.88902 lr:0.000354
step:8401 source:(128, 18) loss:3.88266 lr:0.000354
step:8601 source:(128, 18) loss:4.0531 lr:0.000354
step:8801 source:(128, 18) loss:3.92939 lr:0.000354
step:9001 source:(128, 18) loss:4.00202 lr:0.000354
step:9201 source:(128, 18) loss:4.04063 lr:0.000354
step:9401 source:(128, 18) loss:3.97757 lr:0.000354
step:9601 source:(128, 18) loss:3.97113 lr:0.000354
step:9801 source:(128, 18) loss:4.10547 lr:0.000354
step:10001 source:(128, 18) loss:3.99788 lr:0.000354
step:10201 source:(128, 18) loss:4.01496 lr:0.000354
step:10401 source:(128, 18) loss:3.93387 lr:0.000354
step:10601 source:(128, 18) loss:4.01108 lr:0.000354
step:10801 source:(128, 18) loss:4.03591 lr:0.000354
step:11001 source:(128, 18) loss:4.02822 lr:0.000354
step:11201 source:(128, 18) loss:3.97354 lr:0.000354
step:11401 source:(128, 18) loss:3.97666 lr:0.000354
step:11601 source:(128, 18) loss:4.03485 lr:0.000354
epoch:15 test_present_rate:0.5 test_bleu:44.19797360897064 template_bleu:41.25339388847351
epoch:15 test_present_rate:0.5 test_bleu:44.54050362110138 template_bleu:41.28649830818176
step:11801 source:(128, 18) loss:4.0233 lr:0.000354
step:12001 source:(128, 18) loss:3.89918 lr:0.000354
step:12201 source:(128, 18) loss:4.0445 lr:0.000354
step:12401 source:(128, 18) loss:4.04432 lr:0.000354
step:12601 source:(128, 18) loss:4.01347 lr:0.000354
step:12801 source:(128, 18) loss:4.02242 lr:0.000354
step:13001 source:(128, 18) loss:4.01654 lr:0.000354
step:13201 source:(128, 18) loss:4.06357 lr:0.000354
step:13401 source:(128, 18) loss:3.98152 lr:0.000354
step:13601 source:(128, 18) loss:3.98149 lr:0.000354
step:13801 source:(128, 18) loss:4.03552 lr:0.000354
step:14001 source:(128, 18) loss:4.01641 lr:0.000354
step:14201 source:(128, 18) loss:4.066 lr:0.000354
step:14401 source:(128, 18) loss:4.02074 lr:0.000354
step:14601 source:(128, 18) loss:4.02714 lr:0.000354
step:14801 source:(128, 18) loss:4.02634 lr:0.000354
step:15001 source:(128, 18) loss:4.07362 lr:0.000354
step:15201 source:(128, 18) loss:4.04753 lr:0.000354
step:15401 source:(128, 18) loss:4.12507 lr:0.000354
step:15601 source:(128, 18) loss:4.10999 lr:0.000354
epoch:20 test_present_rate:0.5 test_bleu:44.28950548171997 template_bleu:41.43585562705994
epoch:20 test_present_rate:0.5 test_bleu:44.21491324901581 template_bleu:41.271308064460754
step:15801 source:(128, 18) loss:4.00944 lr:0.000354
step:16001 source:(128, 18) loss:3.97523 lr:0.000354
step:16201 source:(128, 18) loss:3.991 lr:0.000354
step:16401 source:(128, 18) loss:4.06093 lr:0.000354
step:16601 source:(128, 18) loss:4.03238 lr:0.000354
step:16801 source:(128, 18) loss:4.07305 lr:0.000354
step:17001 source:(128, 18) loss:4.11177 lr:0.000354
step:17201 source:(128, 18) loss:4.2251 lr:0.000354
step:17401 source:(128, 18) loss:4.13824 lr:0.000354
step:17601 source:(128, 18) loss:3.98726 lr:0.000354
step:17801 source:(128, 18) loss:4.11442 lr:0.000354
step:18001 source:(128, 18) loss:4.02453 lr:0.000354
step:18201 source:(128, 18) loss:4.13718 lr:0.000354
step:18401 source:(128, 18) loss:4.00685 lr:0.000354
step:18601 source:(128, 18) loss:4.05296 lr:0.000354
step:18801 source:(128, 18) loss:4.01695 lr:0.000354
step:19001 source:(128, 18) loss:3.96437 lr:0.000354
step:19201 source:(128, 18) loss:4.05209 lr:0.000354
step:19401 source:(128, 18) loss:3.97275 lr:0.000354
epoch:25 test_present_rate:0.5 test_bleu:43.88524889945984 template_bleu:41.37224853038788
epoch:25 test_present_rate:0.5 test_bleu:44.02971267700195 template_bleu:41.26165807247162
step:19601 source:(128, 18) loss:4.01553 lr:0.000354
step:19801 source:(128, 18) loss:4.13107 lr:0.000354
step:20001 source:(128, 18) loss:4.06572 lr:0.000354
step:20201 source:(128, 18) loss:4.06591 lr:0.000354
step:20401 source:(128, 18) loss:3.97713 lr:0.000354
step:20601 source:(128, 18) loss:4.14819 lr:0.000354
step:20801 source:(128, 18) loss:4.02743 lr:0.000354
step:21001 source:(128, 18) loss:4.05386 lr:0.000354
step:21201 source:(128, 18) loss:4.12121 lr:0.000354
step:21401 source:(128, 18) loss:4.05996 lr:0.000354
step:21601 source:(128, 18) loss:4.09834 lr:0.000354
step:21801 source:(128, 18) loss:4.18497 lr:0.000354
step:22001 source:(128, 18) loss:4.14815 lr:0.000354
step:22201 source:(128, 18) loss:4.0945 lr:0.000354
step:22401 source:(128, 18) loss:4.11428 lr:0.000354
step:22601 source:(128, 18) loss:4.06079 lr:0.000354
step:22801 source:(128, 18) loss:4.09114 lr:0.000354
step:23001 source:(128, 18) loss:4.21374 lr:0.000354
step:23201 source:(128, 18) loss:4.15515 lr:0.000354
step:23401 source:(128, 18) loss:4.12878 lr:0.000354
epoch:30 test_present_rate:0.5 test_bleu:43.96551549434662 template_bleu:41.288959980010986
epoch:30 test_present_rate:0.5 test_bleu:44.34083700180054 template_bleu:41.30912721157074
step:23601 source:(128, 18) loss:4.1624 lr:0.000354
step:23801 source:(128, 18) loss:4.11816 lr:0.000354
step:24001 source:(128, 18) loss:4.07648 lr:0.000354
step:24201 source:(128, 18) loss:4.10247 lr:0.000354
step:24401 source:(128, 18) loss:4.14935 lr:0.000354
step:24601 source:(128, 18) loss:4.22918 lr:0.000354
step:24801 source:(128, 18) loss:4.09697 lr:0.000354
step:25001 source:(128, 18) loss:4.27275 lr:0.000354
step:25201 source:(128, 18) loss:4.16023 lr:0.000354
step:25401 source:(128, 18) loss:4.26375 lr:0.000354
step:25601 source:(128, 18) loss:4.28826 lr:0.000354
step:25801 source:(128, 18) loss:4.09678 lr:0.000354
step:26001 source:(128, 18) loss:4.51571 lr:0.000354
step:26201 source:(128, 18) loss:4.2331 lr:0.000354
step:26401 source:(128, 18) loss:4.0772 lr:0.000354
step:26601 source:(128, 18) loss:4.1709 lr:0.000354
step:26801 source:(128, 18) loss:4.23288 lr:0.000354
step:27001 source:(128, 18) loss:4.19748 lr:0.000354
step:27201 source:(128, 18) loss:4.24497 lr:0.000354
epoch:35 test_present_rate:0.5 test_bleu:42.609500885009766 template_bleu:41.25136137008667
epoch:35 test_present_rate:0.5 test_bleu:42.7795946598053 template_bleu:41.15884602069855
step:27401 source:(128, 18) loss:4.28027 lr:0.000354
step:27601 source:(128, 18) loss:4.19028 lr:0.000354
step:27801 source:(128, 18) loss:4.19223 lr:0.000354
step:28001 source:(128, 18) loss:4.10384 lr:0.000354
step:28201 source:(128, 18) loss:4.21605 lr:0.000354
step:28401 source:(128, 18) loss:4.15825 lr:0.000354
step:28601 source:(128, 18) loss:4.30334 lr:0.000354
step:28801 source:(128, 18) loss:4.3421 lr:0.000354
step:29001 source:(128, 18) loss:4.19623 lr:0.000354
step:29201 source:(128, 18) loss:4.14916 lr:0.000354
step:29401 source:(128, 18) loss:4.23568 lr:0.000354
step:29601 source:(128, 18) loss:4.23394 lr:0.000354
step:29801 source:(128, 18) loss:4.28352 lr:0.000354
step:30001 source:(128, 18) loss:4.27542 lr:0.000354
step:30201 source:(128, 18) loss:4.28888 lr:0.000354
step:30401 source:(128, 18) loss:4.22616 lr:0.000354
step:30601 source:(128, 18) loss:4.27169 lr:0.000354
step:30801 source:(128, 18) loss:4.28833 lr:0.000354
step:31001 source:(128, 18) loss:4.4773 lr:0.000354
step:31201 source:(128, 18) loss:4.31207 lr:0.000354
epoch:40 test_present_rate:0.5 test_bleu:43.20883750915527 template_bleu:40.93056917190552
epoch:40 test_present_rate:0.5 test_bleu:43.815675377845764 template_bleu:41.31198227405548
step:31401 source:(128, 18) loss:4.2348 lr:0.000354
step:31601 source:(128, 18) loss:4.2508 lr:0.000354
step:31801 source:(128, 18) loss:4.20668 lr:0.000354
step:32001 source:(128, 18) loss:4.44033 lr:0.000354
step:32201 source:(128, 18) loss:4.25063 lr:0.000354
step:32401 source:(128, 18) loss:4.28728 lr:0.000354
step:32601 source:(128, 18) loss:4.21286 lr:0.000354
step:32801 source:(128, 18) loss:4.36532 lr:0.000354
step:33001 source:(128, 18) loss:4.43695 lr:0.000354
step:33201 source:(128, 18) loss:4.41584 lr:0.000354
step:33401 source:(128, 18) loss:4.36235 lr:0.000354
step:33601 source:(128, 18) loss:4.33042 lr:0.000354
step:33801 source:(128, 18) loss:4.29842 lr:0.000354
step:34001 source:(128, 18) loss:4.29021 lr:0.000354
step:34201 source:(128, 18) loss:4.40123 lr:0.000354
step:34401 source:(128, 18) loss:4.3698 lr:0.000354
step:34601 source:(128, 18) loss:4.44594 lr:0.000354
step:34801 source:(128, 18) loss:4.43974 lr:0.000354
step:35001 source:(128, 18) loss:4.44597 lr:0.000354
epoch:45 test_present_rate:0.5 test_bleu:41.87748730182648 template_bleu:41.31333827972412
epoch:45 test_present_rate:0.5 test_bleu:42.02782213687897 template_bleu:41.248273849487305
step:35201 source:(128, 18) loss:4.44745 lr:0.000354
step:35401 source:(128, 18) loss:4.43526 lr:0.000354
step:35601 source:(128, 18) loss:4.46411 lr:0.000354
step:35801 source:(128, 18) loss:6.17069 lr:0.000354
step:36001 source:(128, 18) loss:5.04167 lr:0.000354
step:36201 source:(128, 18) loss:4.68853 lr:0.000354
step:36401 source:(128, 18) loss:4.75191 lr:0.000354
step:36601 source:(128, 18) loss:4.80776 lr:0.000354
step:36801 source:(128, 18) loss:4.61537 lr:0.000354
step:37001 source:(128, 18) loss:4.76931 lr:0.000354
step:37201 source:(128, 18) loss:7.20071 lr:0.000354
step:37401 source:(128, 18) loss:4.7631 lr:0.000354
step:37601 source:(128, 18) loss:4.91176 lr:0.000354
step:37801 source:(128, 18) loss:5.397 lr:0.000354
step:38001 source:(128, 18) loss:4.77693 lr:0.000354
step:38201 source:(128, 18) loss:4.90857 lr:0.000354
step:38401 source:(128, 18) loss:4.79775 lr:0.000354
step:38601 source:(128, 18) loss:4.87737 lr:0.000354
step:38801 source:(128, 18) loss:4.84383 lr:0.000354
step:39001 source:(128, 18) loss:4.84259 lr:0.000354
epoch:50 test_present_rate:0.5 test_bleu:41.01264178752899 template_bleu:41.115716099739075
epoch:50 test_present_rate:0.5 test_bleu:41.238486766815186 template_bleu:41.17346405982971
step:39201 source:(128, 18) loss:5.3846 lr:0.000354
step:39401 source:(128, 18) loss:4.77493 lr:0.000354
step:39601 source:(128, 18) loss:4.74584 lr:0.000354
step:39801 source:(128, 18) loss:6.39966 lr:0.000354
step:40001 source:(128, 18) loss:4.91856 lr:0.000354
step:40201 source:(128, 18) loss:4.93055 lr:0.000354
step:40401 source:(128, 18) loss:4.94901 lr:0.000354
step:40601 source:(128, 18) loss:6.14989 lr:0.000354
step:40801 source:(128, 18) loss:4.95295 lr:0.000354
step:41001 source:(128, 18) loss:5.15605 lr:0.000354
step:41201 source:(128, 18) loss:4.93269 lr:0.000354
step:41401 source:(128, 18) loss:4.99963 lr:0.000354
step:41601 source:(128, 18) loss:5.15234 lr:0.000354
step:41801 source:(128, 18) loss:5.28597 lr:0.000354
step:42001 source:(128, 18) loss:4.88231 lr:0.000354
step:42201 source:(128, 18) loss:5.14902 lr:0.000354
step:42401 source:(128, 18) loss:4.87567 lr:0.000354
step:42601 source:(128, 18) loss:5.76379 lr:0.000354
step:42801 source:(128, 18) loss:5.79122 lr:0.000354
step:43001 source:(128, 18) loss:5.31072 lr:0.000354
epoch:55 test_present_rate:0.5 test_bleu:41.55484139919281 template_bleu:41.18645191192627
epoch:55 test_present_rate:0.5 test_bleu:41.60854518413544 template_bleu:41.17833971977234
step:43201 source:(128, 18) loss:6.03572 lr:0.000354
step:43401 source:(128, 18) loss:5.3909 lr:0.000354
step:43601 source:(128, 18) loss:5.52709 lr:0.000354
step:43801 source:(128, 18) loss:5.67015 lr:0.000354
step:44001 source:(128, 18) loss:5.64311 lr:0.000354
step:44201 source:(128, 18) loss:5.39776 lr:0.000354
step:44401 source:(128, 18) loss:5.71766 lr:0.000354
step:44601 source:(128, 18) loss:5.55874 lr:0.000354
step:44801 source:(128, 18) loss:5.56866 lr:0.000354
step:45001 source:(128, 18) loss:5.72115 lr:0.000354
step:45201 source:(128, 18) loss:5.36422 lr:0.000354
step:45401 source:(128, 18) loss:5.60928 lr:0.000354
step:45601 source:(128, 18) loss:5.52131 lr:0.000354
step:45801 source:(128, 18) loss:5.76027 lr:0.000354
step:46001 source:(128, 18) loss:5.46496 lr:0.000354
step:46201 source:(128, 18) loss:5.77819 lr:0.000354
step:46401 source:(128, 18) loss:5.93483 lr:0.000354
step:46601 source:(128, 18) loss:5.43866 lr:0.000354
step:46801 source:(128, 18) loss:5.57417 lr:0.000354
epoch:60 test_present_rate:0.5 test_bleu:40.02847671508789 template_bleu:41.092848777770996
epoch:60 test_present_rate:0.5 test_bleu:40.35743474960327 template_bleu:41.24797582626343
step:47001 source:(128, 18) loss:5.77343 lr:0.000354
step:47201 source:(128, 18) loss:5.66237 lr:0.000354
step:47401 source:(128, 18) loss:5.73891 lr:0.000354
step:47601 source:(128, 18) loss:5.77838 lr:0.000354
step:47801 source:(128, 18) loss:6.33244 lr:0.000354
step:48001 source:(128, 18) loss:5.99022 lr:0.000354
step:48201 source:(128, 18) loss:6.29045 lr:0.000354
step:48401 source:(128, 18) loss:5.96336 lr:0.000354
step:48601 source:(128, 18) loss:5.64434 lr:0.000354
step:48801 source:(128, 18) loss:5.89211 lr:0.000354
step:49001 source:(128, 18) loss:7.36736 lr:0.000354
step:49201 source:(128, 18) loss:6.10765 lr:0.000354
step:49401 source:(128, 18) loss:6.1218 lr:0.000354
step:49601 source:(128, 18) loss:6.18676 lr:0.000354
step:49801 source:(128, 18) loss:6.22313 lr:0.000354
step:50001 source:(128, 18) loss:6.55549 lr:0.000354
step:50201 source:(128, 18) loss:6.00572 lr:0.000354
step:50401 source:(128, 18) loss:6.03702 lr:0.000354
step:50601 source:(128, 18) loss:5.94028 lr:0.000354
step:50801 source:(128, 18) loss:6.11249 lr:0.000354
