train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize201.epoch150.seqlen16.random.present0.5.partition2.hidden1024/
epoch:0 test_present_rate:0.5 test_bleu:18.219363689422607 template_bleu:41.20951294898987
step:1 source:(201, 18) loss:7.06435 lr:0.001250
step:201 source:(201, 18) loss:4.40007 lr:0.001250
step:401 source:(201, 18) loss:4.56419 lr:0.001250
step:601 source:(201, 18) loss:5.05979 lr:0.001250
step:801 source:(201, 18) loss:5.26399 lr:0.001250
step:1001 source:(201, 18) loss:5.58131 lr:0.000125
step:1201 source:(201, 18) loss:4.52418 lr:0.000125
step:1401 source:(201, 18) loss:4.34029 lr:0.000125
step:1601 source:(201, 18) loss:4.30107 lr:0.000125
step:1801 source:(201, 18) loss:4.33387 lr:0.000125
step:2001 source:(201, 18) loss:4.32616 lr:0.000125
step:2201 source:(201, 18) loss:4.34069 lr:0.000125
step:2401 source:(201, 18) loss:4.28854 lr:0.000125
epoch:5 test_present_rate:0.5 test_bleu:40.965330600738525 template_bleu:41.39116406440735
step:2601 source:(201, 18) loss:4.2975 lr:0.000125
step:2801 source:(201, 18) loss:4.30678 lr:0.000125
step:3001 source:(201, 18) loss:4.33205 lr:0.000125
step:3201 source:(201, 18) loss:4.31393 lr:0.000125
step:3401 source:(201, 18) loss:4.35512 lr:0.000125
step:3601 source:(201, 18) loss:4.26378 lr:0.000125
step:3801 source:(201, 18) loss:4.26223 lr:0.000125
step:4001 source:(201, 18) loss:4.25603 lr:0.000125
step:4201 source:(201, 18) loss:4.28912 lr:0.000125
step:4401 source:(201, 18) loss:4.22952 lr:0.000125
step:4601 source:(201, 18) loss:4.24518 lr:0.000125
step:4801 source:(201, 18) loss:4.27571 lr:0.000125
epoch:10 test_present_rate:0.5 test_bleu:41.03773534297943 template_bleu:41.23947322368622
step:5001 source:(201, 18) loss:4.26438 lr:0.000125
step:5201 source:(201, 18) loss:4.24421 lr:0.000125
step:5401 source:(201, 18) loss:4.26004 lr:0.000125
step:5601 source:(201, 18) loss:4.22899 lr:0.000125
step:5801 source:(201, 18) loss:4.18471 lr:0.000125
step:6001 source:(201, 18) loss:4.22882 lr:0.000125
step:6201 source:(201, 18) loss:4.21398 lr:0.000125
step:6401 source:(201, 18) loss:4.25152 lr:0.000125
step:6601 source:(201, 18) loss:4.15019 lr:0.000125
step:6801 source:(201, 18) loss:4.2435 lr:0.000125
step:7001 source:(201, 18) loss:4.21659 lr:0.000125
step:7201 source:(201, 18) loss:4.28762 lr:0.000125
step:7401 source:(201, 18) loss:4.28882 lr:0.000125
epoch:15 test_present_rate:0.5 test_bleu:41.20160937309265 template_bleu:40.9008264541626
step:7601 source:(201, 18) loss:4.23018 lr:0.000125
step:7801 source:(201, 18) loss:4.20219 lr:0.000125
step:8001 source:(201, 18) loss:4.20924 lr:0.000125
step:8201 source:(201, 18) loss:4.21642 lr:0.000125
step:8401 source:(201, 18) loss:4.22526 lr:0.000125
step:8601 source:(201, 18) loss:4.18423 lr:0.000125
step:8801 source:(201, 18) loss:4.16528 lr:0.000125
step:9001 source:(201, 18) loss:4.28549 lr:0.000125
step:9201 source:(201, 18) loss:4.25617 lr:0.000125
step:9401 source:(201, 18) loss:4.24379 lr:0.000125
step:9601 source:(201, 18) loss:4.26801 lr:0.000125
step:9801 source:(201, 18) loss:4.2156 lr:0.000125
epoch:20 test_present_rate:0.5 test_bleu:40.89082181453705 template_bleu:41.02885127067566
step:10001 source:(201, 18) loss:4.26249 lr:0.000125
step:10201 source:(201, 18) loss:4.20366 lr:0.000125
step:10401 source:(201, 18) loss:4.19702 lr:0.000125
step:10601 source:(201, 18) loss:4.20127 lr:0.000125
step:10801 source:(201, 18) loss:4.18925 lr:0.000125
step:11001 source:(201, 18) loss:4.25541 lr:0.000125
step:11201 source:(201, 18) loss:4.16243 lr:0.000125
step:11401 source:(201, 18) loss:4.20906 lr:0.000125
step:11601 source:(201, 18) loss:4.22022 lr:0.000125
step:11801 source:(201, 18) loss:4.25821 lr:0.000125
step:12001 source:(201, 18) loss:4.16421 lr:0.000125
step:12201 source:(201, 18) loss:4.2726 lr:0.000125
step:12401 source:(201, 18) loss:4.16869 lr:0.000125
epoch:25 test_present_rate:0.5 test_bleu:41.07617139816284 template_bleu:41.19470715522766
step:12601 source:(201, 18) loss:4.23942 lr:0.000125
step:12801 source:(201, 18) loss:4.19514 lr:0.000125
step:13001 source:(201, 18) loss:4.23431 lr:0.000125
step:13201 source:(201, 18) loss:4.19788 lr:0.000125
step:13401 source:(201, 18) loss:4.19417 lr:0.000125
step:13601 source:(201, 18) loss:4.25669 lr:0.000125
