train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize200.epoch150.seqlen16.random.present0.5.partition2.hidden1024/
epoch:0 test_present_rate:0.5 test_bleu:18.20235699415207 template_bleu:41.14578664302826
step:1 source:(200, 18) loss:7.18366 lr:0.000781
step:201 source:(200, 18) loss:4.29151 lr:0.000781
step:401 source:(200, 18) loss:4.33335 lr:0.000781
step:601 source:(200, 18) loss:4.29022 lr:0.000781
step:801 source:(200, 18) loss:4.26948 lr:0.000781
step:1001 source:(200, 18) loss:4.32536 lr:0.000078
step:1201 source:(200, 18) loss:4.09749 lr:0.000078
step:1401 source:(200, 18) loss:4.09006 lr:0.000078
step:1601 source:(200, 18) loss:4.1102 lr:0.000078
step:1801 source:(200, 18) loss:4.07341 lr:0.000078
step:2001 source:(200, 18) loss:4.10305 lr:0.000078
step:2201 source:(200, 18) loss:4.052 lr:0.000078
step:2401 source:(200, 18) loss:4.09655 lr:0.000078
epoch:5 test_present_rate:0.5 test_bleu:40.97481667995453 template_bleu:41.268157958984375
step:2601 source:(200, 18) loss:4.09634 lr:0.000078
step:2801 source:(200, 18) loss:4.08848 lr:0.000078
step:3001 source:(200, 18) loss:4.10241 lr:0.000078
step:3201 source:(200, 18) loss:4.08341 lr:0.000078
step:3401 source:(200, 18) loss:4.06738 lr:0.000078
step:3601 source:(200, 18) loss:4.08537 lr:0.000078
step:3801 source:(200, 18) loss:4.04619 lr:0.000078
step:4001 source:(200, 18) loss:4.04392 lr:0.000078
step:4201 source:(200, 18) loss:4.07498 lr:0.000078
step:4401 source:(200, 18) loss:4.03792 lr:0.000078
step:4601 source:(200, 18) loss:4.05916 lr:0.000078
step:4801 source:(200, 18) loss:4.0478 lr:0.000078
epoch:10 test_present_rate:0.5 test_bleu:41.45795702934265 template_bleu:41.326120495796204
step:5001 source:(200, 18) loss:4.0425 lr:0.000078
