train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/bsize100.epoch150.seqlen32.random.present0.5.partition3.hidden512/
step:1 source:(100, 34) loss:4.8943 lr:0.000354
step:201 source:(100, 34) loss:3.17037 lr:0.000354
step:401 source:(100, 34) loss:3.06558 lr:0.000354
step:601 source:(100, 34) loss:3.18062 lr:0.000354
step:801 source:(100, 34) loss:3.14397 lr:0.000354
epoch:0 test_present_rate:0.5 test_bleu:38.14820051193237 template_bleu:38.29264044761658
epoch:0 test_present_rate:0.5 test_bleu:38.08939456939697 template_bleu:38.11551630496979
step:1001 source:(100, 34) loss:3.00463 lr:0.000354
step:1201 source:(100, 34) loss:3.15181 lr:0.000354
step:1401 source:(100, 34) loss:3.04655 lr:0.000354
step:1601 source:(100, 34) loss:3.15177 lr:0.000354
step:1801 source:(100, 34) loss:3.24708 lr:0.000354
step:2001 source:(100, 34) loss:3.02433 lr:0.000354
step:2201 source:(100, 34) loss:3.1736 lr:0.000354
step:2401 source:(100, 34) loss:3.02648 lr:0.000354
step:2601 source:(100, 34) loss:3.12801 lr:0.000354
step:2801 source:(100, 34) loss:3.24696 lr:0.000354
step:3001 source:(100, 34) loss:3.12334 lr:0.000354
step:3201 source:(100, 34) loss:3.09773 lr:0.000354
step:3401 source:(100, 34) loss:3.15403 lr:0.000354
step:3601 source:(100, 34) loss:3.15924 lr:0.000354
step:3801 source:(100, 34) loss:3.16319 lr:0.000354
step:4001 source:(100, 34) loss:3.13986 lr:0.000354
step:4201 source:(100, 34) loss:3.17068 lr:0.000354
step:4401 source:(100, 34) loss:3.09017 lr:0.000354
step:4601 source:(100, 34) loss:3.23912 lr:0.000354
step:4801 source:(100, 34) loss:3.28108 lr:0.000354
step:5001 source:(100, 34) loss:3.16767 lr:0.000354
step:5201 source:(100, 34) loss:3.14573 lr:0.000354
step:5401 source:(100, 34) loss:3.19713 lr:0.000354
step:5601 source:(100, 34) loss:3.15946 lr:0.000354
step:5801 source:(100, 34) loss:3.11946 lr:0.000354
epoch:5 test_present_rate:0.5 test_bleu:36.70365810394287 template_bleu:37.924885749816895
epoch:5 test_present_rate:0.5 test_bleu:37.21809685230255 template_bleu:38.09524178504944
step:6001 source:(100, 34) loss:3.21174 lr:0.000354
step:6201 source:(100, 34) loss:3.2122 lr:0.000354
step:6401 source:(100, 34) loss:3.20604 lr:0.000354
step:6601 source:(100, 34) loss:3.24074 lr:0.000354
step:6801 source:(100, 34) loss:3.35741 lr:0.000354
step:7001 source:(100, 34) loss:3.26568 lr:0.000354
step:7201 source:(100, 34) loss:3.3159 lr:0.000354
step:7401 source:(100, 34) loss:3.35348 lr:0.000354
step:7601 source:(100, 34) loss:3.1775 lr:0.000354
