train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize400.epoch300.seqlen16.fixed.present0.5.partition2.hidden512.seq2seq/
epoch:0 test_bleu:14.846505224704742 template_bleu:39.41940367221832
step:1 source:(400, 18) loss:9.90396
step:201 source:(400, 18) loss:8.59852
step:401 source:(400, 18) loss:6.19241
step:601 source:(400, 18) loss:6.01471
step:801 source:(400, 18) loss:5.99719
step:1001 source:(400, 18) loss:5.93388
step:1201 source:(400, 18) loss:5.95805
step:1401 source:(400, 18) loss:5.88071
step:1601 source:(400, 18) loss:5.7932
step:1801 source:(400, 18) loss:5.76825
step:2001 source:(400, 18) loss:5.64005
step:2201 source:(400, 18) loss:5.64058
step:2401 source:(400, 18) loss:5.53274
step:2601 source:(400, 18) loss:5.47484
step:2801 source:(400, 18) loss:5.48794
step:3001 source:(400, 18) loss:5.36557
step:3201 source:(400, 18) loss:5.38258
step:3401 source:(400, 18) loss:5.28169
step:3601 source:(400, 18) loss:5.21306
step:3801 source:(400, 18) loss:5.22145
step:4001 source:(400, 18) loss:5.12416
step:4201 source:(400, 18) loss:5.14752
step:4401 source:(400, 18) loss:5.03999
step:4601 source:(400, 18) loss:4.98676
step:4801 source:(400, 18) loss:5.0047
step:5001 source:(400, 18) loss:4.93432
step:5201 source:(400, 18) loss:4.94547
step:5401 source:(400, 18) loss:4.84022
step:5601 source:(400, 18) loss:4.79564
step:5801 source:(400, 18) loss:4.80026
step:6001 source:(400, 18) loss:4.72839
step:6201 source:(400, 18) loss:4.72003
step:6401 source:(400, 18) loss:4.63542
step:6601 source:(400, 18) loss:4.55775
step:6801 source:(400, 18) loss:4.58287
step:7001 source:(400, 18) loss:4.48677
step:7201 source:(400, 18) loss:4.46366
step:7401 source:(400, 18) loss:4.38188
step:7601 source:(400, 18) loss:4.3063
step:7801 source:(400, 18) loss:4.29336
step:8001 source:(400, 18) loss:4.26466
step:8201 source:(400, 18) loss:4.20909
step:8401 source:(400, 18) loss:4.13432
step:8601 source:(400, 18) loss:4.02599
step:8801 source:(400, 18) loss:4.01821
step:9001 source:(400, 18) loss:3.9759
step:9201 source:(400, 18) loss:3.89538
step:9401 source:(400, 18) loss:3.85626
step:9601 source:(400, 18) loss:3.7626
step:9801 source:(400, 18) loss:3.71482
step:10001 source:(400, 18) loss:3.67628
step:10201 source:(400, 18) loss:3.55915
step:10401 source:(400, 18) loss:3.51967
step:10601 source:(400, 18) loss:3.42113
step:10801 source:(400, 18) loss:3.43801
step:11001 source:(400, 18) loss:3.32746
step:11201 source:(400, 18) loss:3.26099
step:11401 source:(400, 18) loss:3.25921
step:11601 source:(400, 18) loss:3.13151
step:11801 source:(400, 18) loss:3.14433
step:12001 source:(400, 18) loss:2.95665
step:12201 source:(400, 18) loss:2.9216
step:12401 source:(400, 18) loss:2.9106
step:12601 source:(400, 18) loss:2.85098
step:12801 source:(400, 18) loss:2.74451
step:13001 source:(400, 18) loss:2.66317
step:13201 source:(400, 18) loss:2.69591
step:13401 source:(400, 18) loss:2.7467
step:13601 source:(400, 18) loss:2.65967
step:13801 source:(400, 18) loss:2.62565
step:14001 source:(400, 18) loss:2.51568
step:14201 source:(400, 18) loss:2.41594
step:14401 source:(400, 18) loss:2.4118
