train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.big/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.big/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch150.seqlen16.random.present0.5.partition2.hidden512/
epoch:0 test_present_rate:0.5 test_bleu:18.309345841407776 template_bleu:43.490612506866455
epoch:0 test_present_rate:0.5 train_bleu:18.65241229534149 template_bleu:44.27917003631592
step:1 source:(400, 18) loss:6.50924 lr:0.000035
step:201 source:(400, 18) loss:3.99994 lr:0.000035
step:401 source:(400, 18) loss:3.9858 lr:0.000035
step:601 source:(400, 18) loss:3.91276 lr:0.000035
step:801 source:(400, 18) loss:3.83874 lr:0.000035
step:1001 source:(400, 18) loss:3.83077 lr:0.000035
step:1201 source:(400, 18) loss:3.82386 lr:0.000035
step:1401 source:(400, 18) loss:3.71643 lr:0.000035
step:1601 source:(400, 18) loss:3.72565 lr:0.000035
step:1801 source:(400, 18) loss:3.69729 lr:0.000035
step:2001 source:(400, 18) loss:3.7035 lr:0.000035
step:2201 source:(400, 18) loss:3.7224 lr:0.000035
step:2401 source:(400, 18) loss:3.72285 lr:0.000035
step:2601 source:(400, 18) loss:3.73858 lr:0.000035
step:2801 source:(400, 18) loss:3.77174 lr:0.000035
step:3001 source:(400, 18) loss:3.68174 lr:0.000035
step:3201 source:(400, 18) loss:3.68016 lr:0.000035
step:3401 source:(400, 18) loss:3.68077 lr:0.000035
step:3601 source:(400, 18) loss:3.71344 lr:0.000035
step:3801 source:(400, 18) loss:3.60763 lr:0.000035
step:4001 source:(400, 18) loss:3.64007 lr:0.000035
step:4201 source:(400, 18) loss:3.67598 lr:0.000035
step:4401 source:(400, 18) loss:3.66775 lr:0.000035
step:4601 source:(400, 18) loss:3.63397 lr:0.000035
step:4801 source:(400, 18) loss:3.70557 lr:0.000035
step:5001 source:(400, 18) loss:3.6105 lr:0.000035
step:5201 source:(400, 18) loss:3.59671 lr:0.000035
step:5401 source:(400, 18) loss:3.6906 lr:0.000035
step:5601 source:(400, 18) loss:3.5922 lr:0.000035
step:5801 source:(400, 18) loss:3.57988 lr:0.000035
step:6001 source:(400, 18) loss:3.61522 lr:0.000035
step:6201 source:(400, 18) loss:3.60776 lr:0.000035
step:6401 source:(400, 18) loss:3.54785 lr:0.000035
step:6601 source:(400, 18) loss:3.52274 lr:0.000035
step:6801 source:(400, 18) loss:3.54489 lr:0.000035
step:7001 source:(400, 18) loss:3.53521 lr:0.000035
step:7201 source:(400, 18) loss:3.58703 lr:0.000035
step:7401 source:(400, 18) loss:3.54662 lr:0.000035
step:7601 source:(400, 18) loss:3.5454 lr:0.000035
step:7801 source:(400, 18) loss:3.49667 lr:0.000035
step:8001 source:(400, 18) loss:3.51468 lr:0.000035
step:8201 source:(400, 18) loss:3.49699 lr:0.000035
step:8401 source:(400, 18) loss:3.55832 lr:0.000035
step:8601 source:(400, 18) loss:3.57789 lr:0.000035
step:8801 source:(400, 18) loss:3.58666 lr:0.000035
step:9001 source:(400, 18) loss:3.51784 lr:0.000035
step:9201 source:(400, 18) loss:3.48441 lr:0.000035
step:9401 source:(400, 18) loss:3.54529 lr:0.000035
step:9601 source:(400, 18) loss:3.4771 lr:0.000035
step:9801 source:(400, 18) loss:3.54863 lr:0.000035
step:10001 source:(400, 18) loss:3.45633 lr:0.000035
step:10201 source:(400, 18) loss:3.53678 lr:0.000035
step:10401 source:(400, 18) loss:3.4836 lr:0.000035
step:10601 source:(400, 18) loss:3.46318 lr:0.000035
step:10801 source:(400, 18) loss:3.45346 lr:0.000035
step:11001 source:(400, 18) loss:3.51606 lr:0.000035
