train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize64.epoch150.seqlen16.random.present0.5.partition2.hidden512/
epoch:0 test_present_rate:0.5 test_bleu:18.185408413410187 template_bleu:41.1191463470459
epoch:0 test_present_rate:0.5 train_bleu:18.265652656555176 template_bleu:41.295790672302246
step:1 source:(64, 18) loss:6.95691 lr:0.000035
step:201 source:(64, 18) loss:4.30399 lr:0.000035
step:401 source:(64, 18) loss:4.24258 lr:0.000035
step:601 source:(64, 18) loss:4.20274 lr:0.000035
step:801 source:(64, 18) loss:4.13705 lr:0.000035
step:1001 source:(64, 18) loss:4.10093 lr:0.000035
step:1201 source:(64, 18) loss:4.12429 lr:0.000035
step:1401 source:(64, 18) loss:4.13624 lr:0.000035
step:1601 source:(64, 18) loss:4.09716 lr:0.000035
step:1801 source:(64, 18) loss:4.17577 lr:0.000035
step:2001 source:(64, 18) loss:4.18764 lr:0.000035
step:2201 source:(64, 18) loss:3.9484 lr:0.000035
step:2401 source:(64, 18) loss:3.99463 lr:0.000035
step:2601 source:(64, 18) loss:3.95276 lr:0.000035
step:2801 source:(64, 18) loss:4.1043 lr:0.000035
step:3001 source:(64, 18) loss:3.96866 lr:0.000035
step:3201 source:(64, 18) loss:3.94533 lr:0.000035
step:3401 source:(64, 18) loss:3.85002 lr:0.000035
step:3601 source:(64, 18) loss:3.99545 lr:0.000035
step:3801 source:(64, 18) loss:4.00913 lr:0.000035
step:4001 source:(64, 18) loss:3.9752 lr:0.000035
step:4201 source:(64, 18) loss:3.80244 lr:0.000035
step:4401 source:(64, 18) loss:3.94694 lr:0.000035
step:4601 source:(64, 18) loss:4.05349 lr:0.000035
step:4801 source:(64, 18) loss:3.96278 lr:0.000035
step:5001 source:(64, 18) loss:3.96749 lr:0.000035
step:5201 source:(64, 18) loss:4.06027 lr:0.000035
step:5401 source:(64, 18) loss:3.90744 lr:0.000035
step:5601 source:(64, 18) loss:3.91881 lr:0.000035
step:5801 source:(64, 18) loss:3.81013 lr:0.000035
step:6001 source:(64, 18) loss:3.9551 lr:0.000035
step:6201 source:(64, 18) loss:3.99927 lr:0.000035
step:6401 source:(64, 18) loss:3.92155 lr:0.000035
step:6601 source:(64, 18) loss:3.7422 lr:0.000035
step:6801 source:(64, 18) loss:3.97613 lr:0.000035
step:7001 source:(64, 18) loss:3.81236 lr:0.000035
step:7201 source:(64, 18) loss:3.84168 lr:0.000035
step:7401 source:(64, 18) loss:3.88087 lr:0.000035
step:7601 source:(64, 18) loss:3.91327 lr:0.000035
step:7801 source:(64, 18) loss:3.83065 lr:0.000035
epoch:5 test_present_rate:0.5 test_bleu:41.13693833351135 template_bleu:41.37062132358551
epoch:5 test_present_rate:0.5 train_bleu:41.07438623905182 template_bleu:41.23861789703369
step:8001 source:(64, 18) loss:3.87469 lr:0.000035
step:8201 source:(64, 18) loss:3.85195 lr:0.000035
