train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
epoch:0 test_bleu:15.86710810661316 template_bleu:41.18472635746002
epoch:0 train_bleu:15.811710059642792 template_bleu:41.24842882156372
step:1 source:(128, 18) loss:6.56088
step:201 source:(128, 18) loss:5.47308
step:401 source:(128, 18) loss:4.28162
step:601 source:(128, 18) loss:4.37118
step:801 source:(128, 18) loss:4.35052
step:1001 source:(128, 18) loss:4.34511
step:1201 source:(128, 18) loss:4.35335
step:1401 source:(128, 18) loss:4.37822
step:1601 source:(128, 18) loss:4.2659
step:1801 source:(128, 18) loss:4.30751
step:2001 source:(128, 18) loss:4.30459
step:2201 source:(128, 18) loss:4.30759
step:2401 source:(128, 18) loss:4.32755
step:2601 source:(128, 18) loss:4.20415
step:2801 source:(128, 18) loss:4.31477
step:3001 source:(128, 18) loss:4.22838
step:3201 source:(128, 18) loss:4.28326
step:3401 source:(128, 18) loss:4.26399
step:3601 source:(128, 18) loss:4.26401
step:3801 source:(128, 18) loss:4.26222
epoch:5 test_bleu:40.900203585624695 template_bleu:41.5036141872406
epoch:5 train_bleu:40.61228334903717 template_bleu:41.28134250640869
step:4001 source:(128, 18) loss:4.27725
step:4201 source:(128, 18) loss:4.25513
step:4401 source:(128, 18) loss:4.24218
step:4601 source:(128, 18) loss:4.25131
step:4801 source:(128, 18) loss:4.2589
step:5001 source:(128, 18) loss:4.19037
step:5201 source:(128, 18) loss:4.20167
step:5401 source:(128, 18) loss:4.2216
step:5601 source:(128, 18) loss:4.26644
step:5801 source:(128, 18) loss:4.21728
step:6001 source:(128, 18) loss:4.13506
step:6201 source:(128, 18) loss:4.20975
step:6401 source:(128, 18) loss:4.17428
step:6601 source:(128, 18) loss:4.19769
step:6801 source:(128, 18) loss:4.17281
step:7001 source:(128, 18) loss:4.21733
step:7201 source:(128, 18) loss:4.19389
step:7401 source:(128, 18) loss:4.17611
step:7601 source:(128, 18) loss:4.19531
step:7801 source:(128, 18) loss:4.14085
epoch:10 test_bleu:41.52805507183075 template_bleu:41.21147692203522
epoch:10 train_bleu:41.79668724536896 template_bleu:41.25944972038269
step:8001 source:(128, 18) loss:4.11039
step:8201 source:(128, 18) loss:4.08538
step:8401 source:(128, 18) loss:4.07009
step:8601 source:(128, 18) loss:4.16485
step:8801 source:(128, 18) loss:4.06968
step:9001 source:(128, 18) loss:4.10836
step:9201 source:(128, 18) loss:4.0554
step:9401 source:(128, 18) loss:4.0826
step:9601 source:(128, 18) loss:4.06145
step:9801 source:(128, 18) loss:4.07643
step:10001 source:(128, 18) loss:4.06042
step:10201 source:(128, 18) loss:4.0477
step:10401 source:(128, 18) loss:3.9219
step:10601 source:(128, 18) loss:4.02414
step:10801 source:(128, 18) loss:4.00504
step:11001 source:(128, 18) loss:3.94636
step:11201 source:(128, 18) loss:3.9425
step:11401 source:(128, 18) loss:3.89102
step:11601 source:(128, 18) loss:3.83459
epoch:15 test_bleu:42.411985993385315 template_bleu:41.02295637130737
epoch:15 train_bleu:42.7890419960022 template_bleu:41.21030867099762
step:11801 source:(128, 18) loss:3.83165
step:12001 source:(128, 18) loss:3.76338
step:12201 source:(128, 18) loss:3.87933
step:12401 source:(128, 18) loss:3.91562
step:12601 source:(128, 18) loss:3.88145
step:12801 source:(128, 18) loss:3.87745
step:13001 source:(128, 18) loss:3.79784
step:13201 source:(128, 18) loss:3.87107
step:13401 source:(128, 18) loss:3.79165
step:13601 source:(128, 18) loss:3.73193
step:13801 source:(128, 18) loss:3.73674
step:14001 source:(128, 18) loss:3.77924
step:14201 source:(128, 18) loss:3.74019
step:14401 source:(128, 18) loss:3.73471
step:14601 source:(128, 18) loss:3.7268
step:14801 source:(128, 18) loss:3.72982
step:15001 source:(128, 18) loss:3.74417
step:15201 source:(128, 18) loss:3.76701
step:15401 source:(128, 18) loss:3.7498
step:15601 source:(128, 18) loss:3.78464
epoch:20 test_bleu:42.82993972301483 template_bleu:41.13055765628815
epoch:20 train_bleu:43.43898892402649 template_bleu:41.314148902893066
step:15801 source:(128, 18) loss:3.71075
step:16001 source:(128, 18) loss:3.67433
step:16201 source:(128, 18) loss:3.74966
step:16401 source:(128, 18) loss:3.75415
step:16601 source:(128, 18) loss:3.70026
step:16801 source:(128, 18) loss:3.68591
step:17001 source:(128, 18) loss:3.74669
step:17201 source:(128, 18) loss:3.7692
step:17401 source:(128, 18) loss:3.78523
step:17601 source:(128, 18) loss:3.65656
step:17801 source:(128, 18) loss:3.74264
step:18001 source:(128, 18) loss:3.76248
step:18201 source:(128, 18) loss:3.73123
step:18401 source:(128, 18) loss:3.65601
step:18601 source:(128, 18) loss:3.66607
step:18801 source:(128, 18) loss:3.68505
step:19001 source:(128, 18) loss:3.68431
step:19201 source:(128, 18) loss:3.71136
step:19401 source:(128, 18) loss:3.66103
epoch:25 test_bleu:43.603530526161194 template_bleu:41.50485396385193
epoch:25 train_bleu:43.933483958244324 template_bleu:41.40384495258331
step:19601 source:(128, 18) loss:3.68179
step:19801 source:(128, 18) loss:3.63987
step:20001 source:(128, 18) loss:3.65429
step:20201 source:(128, 18) loss:3.62909
step:20401 source:(128, 18) loss:3.67583
step:20601 source:(128, 18) loss:3.70624
step:20801 source:(128, 18) loss:3.65629
step:21001 source:(128, 18) loss:3.70724
step:21201 source:(128, 18) loss:3.64766
step:21401 source:(128, 18) loss:3.57668
step:21601 source:(128, 18) loss:3.63305
step:21801 source:(128, 18) loss:3.73585
step:22001 source:(128, 18) loss:3.70835
