train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch300.seqlen16.fixed.present0.5.partition2.hidden512/
epoch:0 test_present_rate:0.5 test_bleu:17.597101628780365 template_bleu:41.89579486846924
epoch:0 test_present_rate:0.5 train_bleu:19.4102942943573 template_bleu:44.30021941661835
step:1 source:(400, 18) loss:9.81591 lr:0.002210
step:201 source:(400, 18) loss:5.44772 lr:0.002210
step:401 source:(400, 18) loss:5.07103 lr:0.002210
step:601 source:(400, 18) loss:4.82394 lr:0.002210
step:801 source:(400, 18) loss:4.78415 lr:0.002210
step:1001 source:(400, 18) loss:4.67518 lr:0.002210
step:1201 source:(400, 18) loss:5.42666 lr:0.002210
step:1401 source:(400, 18) loss:5.26874 lr:0.002210
step:1601 source:(400, 18) loss:7.2132 lr:0.002210
step:1801 source:(400, 18) loss:5.52 lr:0.002210
step:2001 source:(400, 18) loss:5.45172 lr:0.002210
step:2201 source:(400, 18) loss:5.37187 lr:0.002210
step:2401 source:(400, 18) loss:5.44155 lr:0.002210
step:2601 source:(400, 18) loss:6.71122 lr:0.000221
step:2801 source:(400, 18) loss:6.21384 lr:0.000221
step:3001 source:(400, 18) loss:6.04095 lr:0.000221
step:3201 source:(400, 18) loss:5.88329 lr:0.000221
step:3401 source:(400, 18) loss:5.80069 lr:0.000221
step:3601 source:(400, 18) loss:5.61159 lr:0.000221
step:3801 source:(400, 18) loss:5.56182 lr:0.000221
step:4001 source:(400, 18) loss:5.48883 lr:0.000221
step:4201 source:(400, 18) loss:5.4665 lr:0.000221
step:4401 source:(400, 18) loss:5.41066 lr:0.000221
step:4601 source:(400, 18) loss:5.34321 lr:0.000221
step:4801 source:(400, 18) loss:5.30453 lr:0.000221
step:5001 source:(400, 18) loss:5.30738 lr:0.000221
step:5201 source:(400, 18) loss:5.18503 lr:0.000221
step:5401 source:(400, 18) loss:5.20971 lr:0.000221
step:5601 source:(400, 18) loss:5.1553 lr:0.000221
step:5801 source:(400, 18) loss:5.13393 lr:0.000221
step:6001 source:(400, 18) loss:5.29695 lr:0.000221
step:6201 source:(400, 18) loss:7.10529 lr:0.000221
epoch:5 test_present_rate:0.5 test_bleu:46.743619441986084 template_bleu:41.89579486846924
epoch:5 test_present_rate:0.5 train_bleu:49.904027581214905 template_bleu:44.30021941661835
step:6401 source:(400, 18) loss:6.70371 lr:0.000221
step:6601 source:(400, 18) loss:6.62001 lr:0.000221
step:6801 source:(400, 18) loss:6.17422 lr:0.000221
step:7001 source:(400, 18) loss:6.26972 lr:0.000221
step:7201 source:(400, 18) loss:6.0302 lr:0.000221
step:7401 source:(400, 18) loss:5.25041 lr:0.000221
step:7601 source:(400, 18) loss:5.24933 lr:0.000221
step:7801 source:(400, 18) loss:5.24305 lr:0.000221
step:8001 source:(400, 18) loss:5.22451 lr:0.000221
step:8201 source:(400, 18) loss:5.24126 lr:0.000221
step:8401 source:(400, 18) loss:5.1336 lr:0.000221
step:8601 source:(400, 18) loss:5.06951 lr:0.000221
step:8801 source:(400, 18) loss:5.05442 lr:0.000221
step:9001 source:(400, 18) loss:5.0665 lr:0.000221
step:9201 source:(400, 18) loss:5.08969 lr:0.000221
step:9401 source:(400, 18) loss:5.06687 lr:0.000221
step:9601 source:(400, 18) loss:5.04345 lr:0.000221
step:9801 source:(400, 18) loss:5.33896 lr:0.000221
step:10001 source:(400, 18) loss:6.7173 lr:0.000221
step:10201 source:(400, 18) loss:6.26901 lr:0.000221
step:10401 source:(400, 18) loss:6.50753 lr:0.000221
step:10601 source:(400, 18) loss:6.15922 lr:0.000221
step:10801 source:(400, 18) loss:6.16607 lr:0.000221
step:11001 source:(400, 18) loss:6.14849 lr:0.000221
step:11201 source:(400, 18) loss:6.14322 lr:0.000221
