2018-07-19 14:27:43.920947: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-07-19 14:27:44.096016: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:01:00.0
totalMemory: 7.92GiB freeMemory: 3.03GiB
2018-07-19 14:27:44.096046: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:01:00.0, compute capability: 6.1)
train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/bsize32.epoch70.lr_c2warm16000/
step:100 source:(1, 66) loss:128.492
step:200 source:(1, 66) loss:117.832
step:300 source:(1, 45) loss:110.328
step:400 source:(1, 66) loss:86.7226
step:500 source:(1, 38) loss:88.5943
step:600 source:(1, 66) loss:94.9179
step:700 source:(1, 25) loss:81.361
step:800 source:(1, 66) loss:89.2212
step:900 source:(1, 66) loss:91.324
step:1000 source:(1, 29) loss:82.7386
step:1100 source:(1, 66) loss:86.1837
step:1200 source:(1, 38) loss:86.9617
step:1300 source:(1, 36) loss:87.5541
step:1400 source:(1, 66) loss:71.3897
step:1500 source:(1, 32) loss:89.606
step:1600 source:(1, 52) loss:83.0709
step:1700 source:(1, 66) loss:75.8777
step:1800 source:(1, 66) loss:91.6951
step:1900 source:(1, 47) loss:97.1244
step:2000 source:(1, 66) loss:69.26
step:2100 source:(1, 40) loss:93.6053
step:2200 source:(1, 23) loss:101.705
step:2300 source:(1, 59) loss:59.5527
step:2400 source:(1, 66) loss:72.6486
step:2500 source:(1, 66) loss:92.9808
step:2600 source:(1, 23) loss:59.9467
step:2700 source:(1, 27) loss:100.832
step:2800 source:(1, 63) loss:84.6638
step:2900 source:(1, 66) loss:85.9946
step:3000 source:(1, 65) loss:80.7601
step:3100 source:(1, 28) loss:85.271
step:3200 source:(1, 66) loss:84.0603
step:3300 source:(1, 46) loss:79.114
step:3400 source:(1, 66) loss:89.5897
step:3500 source:(1, 66) loss:90.4711
step:3600 source:(1, 66) loss:88.5096
step:3700 source:(1, 66) loss:70.0483
step:3800 source:(1, 66) loss:81.0552
step:3900 source:(1, 33) loss:86.1459
step:4000 source:(1, 66) loss:88.8683
step:4100 source:(1, 66) loss:93.0787
step:4200 source:(1, 66) loss:81.169
step:4300 source:(1, 66) loss:78.6377
step:4400 source:(1, 40) loss:91.765
step:4500 source:(1, 66) loss:94.0085
step:4600 source:(1, 29) loss:103.545
step:4700 source:(1, 66) loss:87.2609
step:4800 source:(1, 36) loss:79.0119
step:4900 source:(1, 66) loss:70.778
step:5000 source:(1, 28) loss:83.3005
step:5100 source:(1, 42) loss:67.4416
step:5200 source:(1, 66) loss:87.1358
step:5300 source:(1, 63) loss:86.7995
step:5400 source:(1, 34) loss:82.2792
step:5500 source:(1, 61) loss:88.4395
step:5600 source:(1, 66) loss:70.7334
step:5700 source:(1, 66) loss:74.3705
step:5800 source:(1, 30) loss:78.5132
step:5900 source:(1, 35) loss:88.1428
step:6000 source:(1, 66) loss:92.4274
step:6100 source:(1, 66) loss:71.9684
step:6200 source:(1, 24) loss:96.5173
step:6300 source:(1, 66) loss:72.2768
step:6400 source:(1, 66) loss:85.0551
step:6500 source:(1, 66) loss:64.0678
step:6600 source:(1, 66) loss:61.3573
step:6700 source:(1, 66) loss:77.4456
step:6800 source:(1, 66) loss:76.3172
step:6900 source:(1, 66) loss:62.2884
step:7000 source:(1, 61) loss:80.8569
step:7100 source:(1, 49) loss:92.8491
step:7200 source:(1, 50) loss:116.202
step:7300 source:(1, 34) loss:75.4485
step:7400 source:(1, 29) loss:78.1649
step:7500 source:(1, 22) loss:91.0346
step:7600 source:(1, 34) loss:82.9636
step:7700 source:(1, 66) loss:65.6635
step:7800 source:(1, 26) loss:84.6356
step:7900 source:(1, 51) loss:89.2038
step:8000 source:(1, 47) loss:66.8752
step:8100 source:(1, 44) loss:79.6915
step:8200 source:(1, 28) loss:77.8234
step:8300 source:(1, 66) loss:81.945
step:8400 source:(1, 66) loss:93.1217
step:8500 source:(1, 66) loss:88.4999
step:8600 source:(1, 45) loss:78.3973
step:8700 source:(1, 66) loss:69.0912
step:8800 source:(1, 36) loss:96.9691
step:8900 source:(1, 66) loss:61.1538
step:9000 source:(1, 66) loss:87.3181
step:9100 source:(1, 66) loss:69.6037
step:9200 source:(1, 66) loss:77.9027
step:9300 source:(1, 66) loss:80.6289
step:9400 source:(1, 66) loss:70.6082
step:9500 source:(1, 41) loss:87.0009
step:9600 source:(1, 33) loss:89.9301
step:9700 source:(1, 66) loss:72.2108
step:9800 source:(1, 64) loss:75.5515
step:9900 source:(1, 66) loss:70.4218
step:10000 source:(1, 66) loss:80.5056
step:10100 source:(1, 25) loss:90.8968
step:10200 source:(1, 32) loss:97.1638
step:10300 source:(1, 57) loss:85.1147
step:10400 source:(1, 66) loss:86.4655
step:10500 source:(1, 41) loss:66.3477
step:10600 source:(1, 24) loss:84.6886
step:10700 source:(1, 66) loss:78.2133
step:10800 source:(1, 33) loss:70.7464
step:10900 source:(1, 29) loss:76.3754
step:11000 source:(1, 66) loss:69.0194
step:11100 source:(1, 52) loss:80.2847
step:11200 source:(1, 44) loss:84.2262
step:11300 source:(1, 50) loss:80.6824
step:11400 source:(1, 36) loss:84.3331
step:11500 source:(1, 66) loss:90.0875
step:11600 source:(1, 66) loss:78.0354
step:11700 source:(1, 29) loss:81.5765
step:11800 source:(1, 48) loss:95.2902
step:11900 source:(1, 66) loss:83.2617
step:12000 source:(1, 66) loss:66.0189
step:12100 source:(1, 29) loss:80.702
step:12200 source:(1, 66) loss:67.9447
step:12300 source:(1, 66) loss:82.6198
step:12400 source:(1, 29) loss:97.2367
step:12500 source:(1, 66) loss:92.1209
step:12600 source:(1, 29) loss:72.5388
step:12700 source:(1, 46) loss:100.196
step:12800 source:(1, 44) loss:85.7004
step:12900 source:(1, 47) loss:103.029
step:13000 source:(1, 38) loss:66.4436
step:13100 source:(1, 66) loss:79.6451
step:13200 source:(1, 26) loss:82.6104
step:13300 source:(1, 33) loss:63.5327
step:13400 source:(1, 66) loss:70.6333
step:13500 source:(1, 66) loss:84.9381
step:13600 source:(1, 45) loss:75.3772
step:13700 source:(1, 25) loss:67.7811
step:13800 source:(1, 52) loss:69.2334
step:13900 source:(1, 66) loss:73.186
step:14000 source:(1, 66) loss:64.454
step:14100 source:(1, 66) loss:64.4199
step:14200 source:(1, 66) loss:76.5288
step:14300 source:(1, 59) loss:93.1882
step:14400 source:(1, 25) loss:86.5455
step:14500 source:(1, 56) loss:76.5217
step:14600 source:(1, 47) loss:62.9098
step:14700 source:(1, 53) loss:78.5499
step:14800 source:(1, 33) loss:83.3486
step:14900 source:(1, 66) loss:86.5201
step:15000 source:(1, 43) loss:76.3295
step:15100 source:(1, 43) loss:74.091
step:15200 source:(1, 40) loss:70.1301
