2018-06-14 15:49:30.453039: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-06-14 15:49:30.717287: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:01:00.0
totalMemory: 7.92GiB freeMemory: 7.81GiB
2018-06-14 15:49:30.717315: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:01:00.0, compute capability: 6.1)
step: 49700, v_ppl: 82.068865, tst_ppl: 75.351338, mean_rwd: -8.025177, exp_rwd_loss: 8.041041, update_loss: -6980.748535
step: 49800, v_ppl: 82.600439, tst_ppl: 75.999592, mean_rwd: -0.123874, exp_rwd_loss: 0.495130, update_loss: -117.008263
step: 49900, v_ppl: 82.679598, tst_ppl: 76.090085, mean_rwd: -0.000364, exp_rwd_loss: 0.171110, update_loss: -2.921689
step: 50000, v_ppl: 82.723804, tst_ppl: 76.140749, mean_rwd: -0.044362, exp_rwd_loss: 0.133486, update_loss: -25.824459
step: 50100, v_ppl: 82.753024, tst_ppl: 76.174658, mean_rwd: -0.027835, exp_rwd_loss: 0.072204, update_loss: -20.419029
step: 50200, v_ppl: 82.780925, tst_ppl: 76.205523, mean_rwd: -0.021635, exp_rwd_loss: 0.065088, update_loss: -11.112308
step: 50300, v_ppl: 82.807961, tst_ppl: 76.236924, mean_rwd: 0.026709, exp_rwd_loss: 0.074425, update_loss: 23.722538
step: 50400, v_ppl: 82.842066, tst_ppl: 76.275343, mean_rwd: 0.010624, exp_rwd_loss: 0.050415, update_loss: 7.933268
step: 50500, v_ppl: 82.877951, tst_ppl: 76.314434, mean_rwd: -0.022498, exp_rwd_loss: 0.074577, update_loss: -18.707432
step: 50600, v_ppl: 82.921656, tst_ppl: 76.363904, mean_rwd: -0.013081, exp_rwd_loss: 0.051310, update_loss: -10.026560
step: 50700, v_ppl: 82.959239, tst_ppl: 76.406555, mean_rwd: -0.002614, exp_rwd_loss: 0.044749, update_loss: -2.817339
step: 50800, v_ppl: 83.005208, tst_ppl: 76.458602, mean_rwd: -0.011442, exp_rwd_loss: 0.045131, update_loss: -8.797936
step: 50900, v_ppl: 83.039051, tst_ppl: 76.500946, mean_rwd: 0.002004, exp_rwd_loss: 0.054619, update_loss: 5.003962
step: 51000, v_ppl: 83.094497, tst_ppl: 76.559776, mean_rwd: -0.000069, exp_rwd_loss: 0.043949, update_loss: 0.225581
step: 51100, v_ppl: 83.146932, tst_ppl: 76.619231, mean_rwd: -0.013753, exp_rwd_loss: 0.058312, update_loss: -9.068458
step: 51200, v_ppl: 83.194496, tst_ppl: 76.673552, mean_rwd: 0.018127, exp_rwd_loss: 0.050879, update_loss: 12.710961
step: 51300, v_ppl: 83.264382, tst_ppl: 76.752280, mean_rwd: 0.011885, exp_rwd_loss: 0.033187, update_loss: 9.991375
step: 51400, v_ppl: 83.340736, tst_ppl: 76.832744, mean_rwd: 0.017175, exp_rwd_loss: 0.043401, update_loss: 12.757063
step: 51500, v_ppl: 83.419535, tst_ppl: 76.921830, mean_rwd: -0.030582, exp_rwd_loss: 0.043769, update_loss: -24.510380
step: 51600, v_ppl: 83.499285, tst_ppl: 77.011297, mean_rwd: -0.012188, exp_rwd_loss: 0.047066, update_loss: -9.713180
step: 51700, v_ppl: 83.588066, tst_ppl: 77.108841, mean_rwd: -0.007809, exp_rwd_loss: 0.036775, update_loss: -4.819111
step: 51800, v_ppl: 83.669223, tst_ppl: 77.197668, mean_rwd: -0.008395, exp_rwd_loss: 0.035219, update_loss: -5.017429
step: 51900, v_ppl: 83.745263, tst_ppl: 77.280950, mean_rwd: -0.012952, exp_rwd_loss: 0.039673, update_loss: -12.428362
step: 52000, v_ppl: 83.822313, tst_ppl: 77.363090, mean_rwd: -0.005250, exp_rwd_loss: 0.053059, update_loss: -0.130586
step: 52100, v_ppl: 83.918676, tst_ppl: 77.465600, mean_rwd: -0.016122, exp_rwd_loss: 0.049112, update_loss: -12.691157
step: 52200, v_ppl: 84.028370, tst_ppl: 77.581594, mean_rwd: 0.000426, exp_rwd_loss: 0.039403, update_loss: -0.743105
step: 52300, v_ppl: 84.127307, tst_ppl: 77.686768, mean_rwd: 0.008287, exp_rwd_loss: 0.050273, update_loss: 7.454395
step: 52400, v_ppl: 84.270066, tst_ppl: 77.842859, mean_rwd: -0.013575, exp_rwd_loss: 0.048802, update_loss: -10.336095
step: 52500, v_ppl: 84.399884, tst_ppl: 77.978321, mean_rwd: 0.006624, exp_rwd_loss: 0.033405, update_loss: 4.283182
step: 52600, v_ppl: 84.573040, tst_ppl: 78.161995, mean_rwd: -0.010777, exp_rwd_loss: 0.030673, update_loss: -9.684030
step: 52700, v_ppl: 84.729560, tst_ppl: 78.338666, mean_rwd: 0.010882, exp_rwd_loss: 0.042887, update_loss: 8.620248
step: 52800, v_ppl: 84.718374, tst_ppl: 78.327166, mean_rwd: -0.002547, exp_rwd_loss: 0.040658, update_loss: -3.477594
step: 52900, v_ppl: 84.714002, tst_ppl: 78.322435, mean_rwd: -0.005415, exp_rwd_loss: 0.039108, update_loss: -1.089579
step: 53000, v_ppl: 84.708797, tst_ppl: 78.316986, mean_rwd: 0.003279, exp_rwd_loss: 0.014977, update_loss: 2.274998
step: 53100, v_ppl: 84.705130, tst_ppl: 78.313199, mean_rwd: 0.004160, exp_rwd_loss: 0.018819, update_loss: 3.177177
step: 53200, v_ppl: 84.702127, tst_ppl: 78.310328, mean_rwd: 0.006287, exp_rwd_loss: 0.024910, update_loss: 5.293867
step: 53300, v_ppl: 84.699718, tst_ppl: 78.307601, mean_rwd: -0.000108, exp_rwd_loss: 0.013535, update_loss: 0.433565
step: 53400, v_ppl: 84.695634, tst_ppl: 78.304036, mean_rwd: 0.014663, exp_rwd_loss: 0.025703, update_loss: 12.773751
step: 53500, v_ppl: 84.691209, tst_ppl: 78.299715, mean_rwd: -0.017271, exp_rwd_loss: 0.025728, update_loss: -14.252243
step: 53600, v_ppl: 84.687122, tst_ppl: 78.295501, mean_rwd: 0.000337, exp_rwd_loss: 0.017935, update_loss: 0.118351
step: 53700, v_ppl: 84.680320, tst_ppl: 78.289054, mean_rwd: 0.004145, exp_rwd_loss: 0.014254, update_loss: 4.044212
step: 53800, v_ppl: 84.676190, tst_ppl: 78.284690, mean_rwd: -0.000623, exp_rwd_loss: 0.014910, update_loss: 0.070881
step: 53900, v_ppl: 84.672464, tst_ppl: 78.281087, mean_rwd: -0.001171, exp_rwd_loss: 0.016040, update_loss: -1.408370
step: 54000, v_ppl: 84.669171, tst_ppl: 78.277089, mean_rwd: 0.004537, exp_rwd_loss: 0.018598, update_loss: 4.076054
step: 54100, v_ppl: 84.665341, tst_ppl: 78.273121, mean_rwd: 0.020801, exp_rwd_loss: 0.028387, update_loss: 16.210691
step: 54200, v_ppl: 84.661107, tst_ppl: 78.268383, mean_rwd: -0.001120, exp_rwd_loss: 0.014089, update_loss: -1.101678
